Size of blocks: 242; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 231; Speed up: 1.44589
Size of blocks: 243; Amount of blocks: 600; Duration for sequential: 344; Duration for thread: 232; Speed up: 1.48276
Size of blocks: 244; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 238; Speed up: 1.39076
Size of blocks: 245; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 219; Speed up: 1.52511
Size of blocks: 246; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 219; Speed up: 1.48858
Size of blocks: 247; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 229; Speed up: 1.45852
Size of blocks: 248; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 223; Speed up: 1.46188
Size of blocks: 249; Amount of blocks: 600; Duration for sequential: 326; Duration for thread: 225; Speed up: 1.44889
Size of blocks: 250; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 233; Speed up: 1.40343
Size of blocks: 251; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 229; Speed up: 1.45852
Size of blocks: 252; Amount of blocks: 600; Duration for sequential: 327; Duration for thread: 246; Speed up: 1.32927
Size of blocks: 253; Amount of blocks: 600; Duration for sequential: 338; Duration for thread: 250; Speed up: 1.352
Size of blocks: 254; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 234; Speed up: 1.40598
Size of blocks: 255; Amount of blocks: 600; Duration for sequential: 332; Duration for thread: 252; Speed up: 1.31746
Size of blocks: 256; Amount of blocks: 600; Duration for sequential: 338; Duration for thread: 239; Speed up: 1.41423
Size of blocks: 257; Amount of blocks: 600; Duration for sequential: 331; Duration for thread: 243; Speed up: 1.36214
Size of blocks: 258; Amount of blocks: 600; Duration for sequential: 330; Duration for thread: 274; Speed up: 1.20438
Size of blocks: 259; Amount of blocks: 600; Duration for sequential: 329; Duration for thread: 253; Speed up: 1.3004
Size of blocks: 260; Amount of blocks: 600; Duration for sequential: 332; Duration for thread: 252; Speed up: 1.31746
Size of blocks: 261; Amount of blocks: 600; Duration for sequential: 333; Duration for thread: 253; Speed up: 1.31621
Size of blocks: 262; Amount of blocks: 600; Duration for sequential: 334; Duration for thread: 260; Speed up: 1.28462
